Inflacion;Fecha;REND S&P MERV DEFLACT;REND S&P GENERAL BYMA DEFLACT;Rend Schroder Infraestructura Deflactado;Rend Alpha Renta Cobertura Deflactado;Rend Superfondo Renta Fija Deflactado;Rend Superfondo RV Deflactado;Rend Galileo Acciones Deflactado;Rend Pionero Acciones Deflactado;Rend Optimum Global Inv Deflactado;Rend Fima Acciones Deflactado;Rend Consultatio Acciones Deflactado;Rend Deflactado Dólar Mep;Rendimiento Deflact UVA;Rendimiento Deflact PF
5,12%;30/12/2022;0,15;0,15;0,04;0,02;0,01;0,15;0,15;0,14;0,00;0,14;0,14;0,00;0,01;0,01
4,92%;30/11/2022;0,07;0,07;0,04;0,00;0,00;0,08;0,10;0,09;0,01;0,09;0,07;0,02;0,02;0,01
6,35%;31/10/2022;0,01;0,01;-0,05;-0,04;-0,01;0,01;0,04;0,00;-0,01;0,00;0,02;-0,09;0,00;-0,01
6,17%;30/9/2022;-0,04;-0,04;-0,02;-0,02;0,00;-0,03;-0,02;-0,04;-0,03;-0,03;-0,04;0,01;0,01;-0,01
6,97%;31/8/2022;0,04;0,05;0,02;-0,02;0,00;0,04;0,04;0,03;-0,02;0,05;0,03;-0,05;0,00;-0,03
7,41%;29/7/2022;0,31;0,30;0,02;0,04;0,01;0,31;0,31;0,30;0,05;0,31;0,31;0,03;-0,02;-0,03
5,30%;30/6/2022;-0,09;-0,09;0,06;-0,05;-0,07;-0,10;-0,08;-0,09;-0,03;-0,09;-0,10;0,15;0,00;-0,02
5,05%;31/5/2022;0,00;-0,01;-0,04;-0,03;-0,03;-0,01;0,01;-0,01;-0,03;-0,01;-0,01;-0,04;0,01;-0,02
6,05%;29/4/2022;-0,09;-0,08;0,03;0,01;0,02;-0,09;-0,07;-0,09;-0,01;-0,08;-0,09;0,02;-0,01;-0,03
6,73%;31/3/2022;-0,03;-0,04;-0,07;-0,04;-0,01;-0,04;-0,03;-0,05;-0,04;-0,04;-0,05;-0,09;-0,02;-0,04
4,69%;25/2/2022;-0,08;-0,07;-0,10;-0,03;-0,01;-0,07;-0,08;-0,09;-0,05;-0,07;-0,08;-0,13;-0,01;-0,02
3,88%;31/1/2022;0,05;0,05;0,03;-0,02;0,00;0,04;0,05;0,04;0,00;0,04;0,03;0,04;-0,01;-0,01
3,84%;30/12/2021;0,01;0,01;-0,07;-0,03;0,00;0,02;0,02;0,01;-0,03;0,01;0,02;-0,06;-0,01;-0,01
2,53%;30/11/2021;-0,08;-0,08;0,00;-0,01;0,01;-0,08;-0,09;-0,08;0,01;-0,08;-0,07;-0,01;0,01;0,00
3,52%;29/10/2021;0,04;0,05;0,03;0,00;0,01;0,05;0,05;0,05;0,03;0,05;0,05;0,09;-0,01;-0,01
3,55%;30/9/2021;-0,02;-0,02;0,04;-0,01;-0,01;-0,03;-0,01;-0,02;-0,01;-0,03;0,00;0,00;-0,01;-0,01
2,47%;31/8/2021;0,13;0,14;-0,02;-0,01;0,00;0,15;0,11;0,12;0,00;0,13;0,13;-0,02;0,01;0,00
3,00%;30/7/2021;0,03;0,02;0,03;0,01;0,01;0,03;0,06;0,02;0,02;0,04;0,04;0,00;0,00;0,00
3,17%;30/6/2021;0,02;0,02;0,04;-0,04;-0,01;0,02;0,01;0,02;-0,01;0,02;0,00;-0,01;0,01;0,00
3,32%;31/5/2021;0,17;0,16;0,04;-0,01;0,01;0,18;0,15;0,17;0,02;0,16;0,16;0,02;0,01;-0,01
4,08%;30/4/2021;-0,02;-0,02;0,02;0,00;0,02;0,00;-0,02;-0,01;0,03;-0,01;-0,01;0,04;0,00;-0,01
